Asparaginase Escherichia coli	TBG																																																	
Pegaspargase	TBG																																																	
Hyaluronidase (ovine)	HSA																																																	
Octreotide	HSA																																																	
Ascorbic acid	HSA																																																	
alpha-Linolenic acid	B-FABP																																																	
Calcitriol	DBP2																																																	
Lutein	HSA																																																	
Thiamine	HSA																																																	
Ergocalciferol	DBP2																																																	
Dihomo-gamma-linolenic acid	B-FABP																																																	
Icosapent	HSA	B-FABP																																																
Vitamin A	CRALBP	RBP32	CRABP4	HSA	CRABP-II2	RBP52	RBP42	CRABP-I2																																										
Vitamin E	BPIFE	ATTP1	TAP4	TAP22																																														
Pyridoxine	HSA																																																	
Cholecalciferol	DBP2																																																	
Flunisolide	CBG1																																																	
Hydroxocobalamin	II3																																																	
Torasemide	HSA																																																	
Nelfinavir	HSA																																																	
Lovastatin	HSA																																																	
Enflurane	HSA																																																	
Butabarbital	HSA																																																	
Nevirapine	HSA																																																	
Alclometasone	CBG1																																																	
Ranolazine	AGP12																																																	
Benzatropine	HSA																																																	
Ziprasidone	HSA	AGP12																																																
Phenytoin	HSA	TBG																																																
Medrysone	CBG1																																																	
Diethylstilbestrol	ATTR																																																	
Metoprolol	HSA																																																	
Dicoumarol	HSA																																																	
Topiramate	HSA																																																	
Cefmetazole	HSA																																																	
Argatroban	HSA	AGP-B	AGP12																																															
Liothyronine	ATTR	HSA	TBG																																															
Disopyramide	AGP12																																																	
Conjugated estrogens	HSA	ABP2	TBG																																															
Atomoxetine	HSA	CD64	AGP-B	AGP12																																														
Etomidate	PED2																																																	
Etonogestrel	HSA	ABP2																																																
Morphine	HSA																																																	
Desogestrel	HSA	ABP2																																																
Chlorthalidone	HSA																																																	
Valproic acid	HSA																																																	
Acetaminophen	HSA																																																	
Gefitinib	HSA	AGP12																																																
Amitriptyline	HSA	AGP12																																																
Floxuridine	TBG																																																	
Fluorometholone	CBG1																																																	
Hydromorphone	HSA																																																	
Indomethacin	HSA																																																	
Ipratropium	HSA	AGP-B	AGP12																																															
Methadone	HSA	AGP12																																																
Olanzapine	HSA	AGP12																																																
Atenolol	HSA																																																	
Diltiazem	HSA	AGP12																																																
Beclomethasone dipropionate	CBG1																																																	
Alprazolam	HSA	AGP-B	AGP12																																															
Rosiglitazone	HSA																																																	
Acetohexamide	HSA																																																	
Ampicillin	HSA																																																	
Spironolactone	HSA	AGP-B	AGP12																																															
Cefpiramide	HSA																																																	
Trifluridine	HSA																																																	
Betamethasone	HSA	CBG1																																																
Levothyroxine	ATTR	HSA	TBG																																															
Meperidine	HSA	AGP12																																																
Cefalotin	HSA																																																	
Prazosin	AGP12																																																	
Imipramine	HSA	AGP12																																																
Acitretin	HSA																																																	
Nabumetone	HSA																																																	
Fluoxetine	HSA	AGP12																																																
Duloxetine	HSA	AGP-B	AGP12																																															
Chlorpromazine	HSA																																																	
Raloxifene	HSA	AGP12																																																
Buspirone	HSA	AGP12																																																
Zidovudine	HSA																																																	
Oxycodone	HSA	AGP-B	AGP12																																															
Tolmetin	HSA																																																	
Ritonavir	HSA	AGP12																																																
Nitazoxanide	RFC2																																																	
Vancomycin	HSA	AGP-B	AGP12																																															
Cisplatin	HSA																																																	
Alitretinoin	CRABP-II1	CRABP																																																
Erlotinib	HSA	AGP12																																																
Mephenytoin	TBG																																																	
Ciprofloxacin	HSA																																																	
Nortriptyline	HSA	AGP12																																																
Amoxapine	AGP12																																																	
Fluorouracil	HSA	TBG																																																
Piroxicam	HSA																																																	
Lamotrigine	HSA																																																	
Hydroxyzine	HSA																																																	
Methotrexate	HSA																																																	
Cephalexin	HSA																																																	
Propranolol	HSA	AGP12																																																
Fenoprofen	HSA																																																	
Clonidine	HSA																																																	
Sulfamethizole	HSA																																																	
Enalapril	HSA																																																	
Diclofenac	ATTR	HSA																																																
Fluticasone propionate	CBG1	LST-12																																																
Fluocinolone acetonide	CBG1																																																	
Oxytetracycline	HSA																																																	
Ulobetasol	CBG1																																																	
Labetalol	HSA	AGP-B	AGP12																																															
Medroxyprogesterone acetate	HSA																																																	
Sulindac	HSA																																																	
Nafcillin	HSA																																																	
Chloroquine	HSA	AGP-B	AGP12																																															
Imatinib	HSA	AGP12																																																
Triamcinolone	HSA	CBG1																																																
Testosterone	HSA	ABP2																																																
Efavirenz	HSA																																																	
Niacin	TBG																																																	
Prednisone	HSA	CBG1																																																
Clofibrate	TBG																																																	
Mitotane	CBG1	ABP2	TBG																																															
Stavudine	HSA																																																	
Estrone	HSA																																																	
Verapamil	HSA	AGP12																																																
Flumethasone	CBG1																																																	
Tamoxifen	HSA	TBG																																																
Isoflurophate	HSA																																																	
Losartan	HSA																																																	
Warfarin	HSA	AGP12																																																
Fludrocortisone	HSA	CBG1																																																
Furosemide	HSA	TBG																																																
Tamsulosin	AGP12																																																	
Lamivudine	HSA																																																	
Flurbiprofen	HSA																																																	
Apomorphine	HSA																																																	
Norethisterone	HSA	ABP2																																																
Nateglinide	HSA	AGP12																																																
Risperidone	HSA	AGP12																																																
Meclizine	HSA																																																	
Hydrocortisone	CBG1	ABP2																																																
Gadobenic acid	HSA																																																	
Zileuton	HSA																																																	
Etodolac	HSA																																																	
Isoflurane	HSA																																																	
Ethotoin	TBG																																																	
Tretinoin	HSA																																																	
Tetracycline	HSA																																																	
Irinotecan	HSA																																																	
Olopatadine	HSA																																																	
Hydroflumethiazide	HSA																																																	
Oxcarbazepine	HSA																																																	
Estradiol	HSA	ABP2	FABPI																																															
Mefenamic acid	HSA																																																	
Acyclovir	HSA																																																	
Naproxen	HSA																																																	
Alfentanil	HSA	AGP12																																																
Indapamide	HSA	AGP-B	AGP12																																															
Fentanyl	HSA	AGP-B	AGP12																																															
Meloxicam	HSA																																																	
Sodium lauryl sulfate	HSA																																																	
Propofol	HSA																																																	
Diazepam	HSA																																																	
Oxazepam	HSA																																																	
Clofazimine	HSA																																																	
Flurandrenolide	CBG1																																																	
Pseudoephedrine	HSA																																																	
Terbinafine	HSA	AGP-B	AGP12																																															
Drostanolone	ABP2																																																	
Prednisolone	HSA	CBG1																																																
Diflunisal	ATTR	HSA																																																
Tacrolimus	HSA	AGP12																																																
Suprofen	HSA																																																	
Chlorhexidine	HSA																																																	
Emtricitabine	HSA																																																	
Quinapril	HSA																																																	
Iron Dextran	TF2																																																	
Rimexolone	CBG1																																																	
Didanosine	HSA																																																	
Etacrynic acid	HSA																																																	
Cocaine	AGP-B	AGP12																																																
Quinidine	AGP12																																																	
Repaglinide	HSA																																																	
Cyclobenzaprine	HSA																																																	
Etretinate	CRABP																																																	
Metacycline	HSA																																																	
Maprotiline	AGP12																																																	
Salicylic acid	HSA																																																	
Salmeterol	HSA	AGP-B	AGP12																																															
Meclofenamic acid	TBG																																																	
Zalcitabine	HSA																																																	
Phenprocoumon	HSA	AGP12																																																
Fexofenadine	HSA	AGP-B	AGP12																																															
Isoniazid	HSA																																																	
Norgestimate	HSA	ABP2																																																
Methylprednisolone	HSA																																																	
Ethinylestradiol	HSA	ABP2																																																
Isotretinoin	HSA																																																	
Formoterol	HSA																																																	
Azathioprine	HSA																																																	
Auranofin	HSA																																																	
Doxorubicin	HSA																																																	
Hydrochlorothiazide	HSA																																																	
Letrozole	HSA																																																	
Ketoprofen	HSA																																																	
Clobetasol propionate	HSA	CBG1																																																
Sulfamethoxazole	HSA																																																	
Glyburide	HSA																																																	
Ketoconazole	HSA	ABP2																																																
Irbesartan	HSA	AGP-B	AGP12																																															
Probenecid	HSA																																																	
Fenofibrate	HSA																																																	
Gatifloxacin	HSA																																																	
Rifampicin	HSA	AGP-B	AGP12																																															
Fluocinonide	CBG1																																																	
Ibuprofen	HSA																																																	
Benzylpenicillin	HSA																																																	
Tocainide	HSA																																																	
Echothiophate	HSA																																																	
Amoxicillin	HSA																																																	
Oxybutynin	HSA	AGP12																																																
Glipizide	HSA																																																	
Clonazepam	HSA																																																	
Promethazine	HSA																																																	
Atazanavir	HSA	AGP-B	AGP12																																															
Atorvastatin	HSA																																																	
Dimethyl sulfoxide	ATTR																																																	
Rosuvastatin	HSA																																																	
Sertraline	HSA																																																	
Heparin	TBG																																																	
Miconazole	HSA																																																	
Nifedipine	HSA	AGP-B	AGP12																																															
Amiodarone	HSA																																																	
Gliclazide	HSA																																																	
Tolbutamide	HSA																																																	
Dutasteride	HSA	AGP12																																																
Pioglitazone	HSA																																																	
Tiludronic acid	HSA																																																	
Carvedilol	HSA																																																	
Levofloxacin	HSA																																																	
Sulfinpyrazone	FABPI																																																	
Doxepin	HSA	AGP12																																																
Cloxacillin	HSA																																																	
Desipramine	AGP12																																																	
Bupropion	AGP12																																																	
Halothane	HSA																																																	
Arsenic trioxide	HSA																																																	
Naloxone	HSA																																																	
Fluoxymesterone	ABP2																																																	
Desflurane	HSA																																																	
Clindamycin	AGP12																																																	
Flecainide	HSA	AGP-B	AGP12																																															
Captopril	HSA																																																	
Nadolol	AGP-B	AGP12																																																
Ceftriaxone	HSA																																																	
Dantrolene	TBG																																																	
Budesonide	HSA	CBG1																																																
Saquinavir	HSA	AGP12																																																
Metoclopramide	AGP12																																																	
Dexamethasone	HSA																																																	
Levodopa	HSA																																																	
Sevoflurane	HSA																																																	
Aripiprazole	HSA																																																	
Gemfibrozil	HSA																																																	
Clomipramine	HSA																																																	
Darunavir	HSA	AGP12																																																
Hydralazine	HSA																																																	
Exenatide	HSA																																																	
Mecasermin	IBP12	IBP2	IBP5	BP-4	ACLSD	IBP6	BP-53																																											
Bismuth subsalicylate	HSA	TF2																																																
Insulin detemir	HSA																																																	
Fosphenytoin	HSA	TBG																																																
Polythiazide	HSA																																																	
Cefazolin	HSA																																																	
Cefonicid	HSA																																																	
Cefoperazone	HSA																																																	
Cefotetan	HSA																																																	
Penbutolol	AGP12																																																	
Ephedrine	HSA																																																	
Aluminium	HSA																																																	
Paramethasone	CBG1																																																	
Colchicine	HSA																																																	
Digitoxin	HSA																																																	
Magnesium salicylate	HSA																																																	
Danazol	ABP2																																																	
Ciclesonide	CBG1																																																	
Acenocoumarol	HSA	AGP12																																																
Testosterone propionate	HSA	ABP2																																																
Ajmaline	AGP12																																																	
Aprindine	AGP12																																																	
Alfacalcidol	DBP2																																																	
Diamorphine	TBG																																																	
Sulfamerazine	HSA																																																	
Sulfamethazine	HSA																																																	
Liotrix	ATTR	HSA	TBG																																															
Ketazolam	HSA																																																	
Solifenacin	AGP-B	AGP12																																																
Lopinavir	HSA	AGP12																																																
Hydroxychloroquine	HSA	AGP-B	AGP12																																															
Acepromazine	HSA																																																	
Pipotiazine	HSA																																																	
Thioproperazine	HSA																																																	
Thiothixene	HSA																																																	
5-fluorouridine	TBG																																																	
Genistein	ATTR																																																	
Topiroxostat	HSA	AGP12																																																
Tetraiodothyroacetic acid	ATTR																																																	
6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone	ATTR																																																	
D-glucose	HSA																																																	
Butenoic Acid	FABPL																																																	
1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene	ATTP1																																																	
3-sulfino-L-alanine	A-FABP																																																	
O-Trifluoromethylphenyl Anthranilic Acid	ATTR																																																	
S-Methylcysteine	FABPL																																																	
Flufenamic acid	ATTR																																																	
2-Methoxyestradiol	ABP2																																																	
2,4,6-Tribromophenol	ATTR																																																	
Cholic Acid	FABPL																																																	
N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid	ATTR																																																	
Resveratrol	ATTR	HSA																																																
1-Hexadecanosulfonic Acid	A-FABP																																																	
Stanolone	ABP2																																																	
2-{[2-Oxo-2-(1-piperidinyl)ethyl]sulfanyl}-6-(trifluoromethyl)-4(1H)-pyrimidinone	A-FABP																																																	
Lauric acid	HSA																																																	
Pentabromophenol	ATTR																																																	
Stearic acid	FABP11	HSA																																																
3',5'-Dinitro-N-Acetyl-L-Thyronine	ATTR																																																	
3,3',5,5'-tetrachlorobiphenyl-4,4'-diol	ATTR																																																	
Oxyphenbutazone	HSA																																																	
Capric acid	HSA																																																	
Dibenzofuran-4,6-Dicarboxylic Acid	ATTR																																																	
Propanoic acid	A-FABP																																																	
Palmitic Acid	E-FABP	FABP11	HSA	A-FABP	FABPI																																													
Carbazole Butanoic Acid	A-FABP																																																	
5-Alpha-Androstane-3-Beta,17beta-Diol	ABP2																																																	
N-Ethylretinamide	RBP42																																																	
5alpha-androstane-3beta,17alpha-diol	ABP2																																																	
Quercetin	HSA																																																	
Oleic Acid	DBP2	FABP11	HSA	A-FABP	FABPL	B-FABP																																												
Cysteine-Methylene-Carbamoyl-1,10-Phenanthroline	A-FABP																																																	
8-anilinonaphthalene-1-sulfonic acid	ATTR	A-FABP																																																
Glyphosate	HSA																																																	
Arachidonic Acid	HSA	FABPI	A-FABP																																															
Estrone sulfate	HSA	ABP2																																																
2-HYDROXY-3,5-DIIODOBENZOIC ACID	ATTR																																																	
Camptothecin	HSA																																																	
Iodipamide	HSA																																																	
2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid	ATTR																																																	
Dantron	HSA																																																	
Nomifensine	AGP12																																																	
Zomepirac	HSA																																																	
Dronedarone	HSA																																																	
Nebivolol	HSA																																																	
Oritavancin	HSA																																																	
Tamibarotene	CRABP																																																	
Fenretinide	RBP42																																																	
Tanespimycin	HSA																																																	
NRP409	ATTR	TBG																																																
Gallium nitrate	TF2																																																	
Vandetanib	HSA	AGP12																																																
Fx-1006A	ATTR																																																	
Iodine	HSA	AITD31																																																
Telaprevir	HSA	AGP12																																																
CRx-119	CBG1																																																	
Abiraterone	HSA	AGP12																																																
Cenobamate	HSA																																																	
Rufinamide	HSA																																																	
Prasugrel	HSA																																																	
Asenapine	HSA	AGP-B	AGP12																																															
Levocetirizine	HSA																																																	
Simeprevir	HSA																																																	
Oxymetholone	HSA	ABP2																																																
Prucalopride	HSA																																																	
Liraglutide	HSA																																																	
